property_id,address,street_name,city,rstate,latitude,longitude,postcode,price,zestimate,bedroom_number,bathroom_number,price_per_unit,living_space,land_space,property_type,property_status,agency_name,zillow_owned,RunDate
2066798232,"100 Shawmut Ave #906, Boston, MA 02118",Shawmut Ave #906,Boston,MA,42.34683,-71.06571,02118,2218900,,2,3,1464,1515,,CONDO,FOR_SALE,,0,3/13/2022 7:34
2066747292,"194 E St #1, Boston, MA 02127",E St #1,Boston,MA,42.33475,-71.05323,02127,699000,,2,1,873,800,871.2,CONDO,FOR_SALE,Compass,0,3/13/2022 7:34
2082756950,"140 Shawmut Ave UNIT 3D, Boston, MA 02118",Shawmut Ave UNIT 3D,Boston,MA,42.345726,-71.06568,02118,1899000,,2,2,1099,1727,,CONDO,FOR_SALE,Compass,0,3/13/2022 7:34
2069537172,"100 Shawmut Ave #1011, Boston, MA 02118",Shawmut Ave #1011,Boston,MA,,,02118,817900,822600,1,1,1367,598,,CONDO,FOR_SALE,,0,3/13/2022 7:34
123849300,"580 Washington St #1202, Boston, MA 02111",Washington St #1202,Boston,MA,42.35334,-71.06218,02111,2225000,2174000,3,2,1301,1710,,CONDO,FOR_SALE,,0,3/13/2022 7:34
61319753,"1 Avery St APT 21B, Boston, MA 02111",Avery St APT 21B,Boston,MA,42.35374,-71.062805,02111,3300000,3084800,3,5,1237,2667,2667,CONDO,FOR_SALE,William Raveis R.E. & Home Services,0,3/13/2022 7:34
318224444,"3 Joy St, Boston, MA 02108",Joy St,Boston,MA,42.35784,-71.06539,02108,5999999,5665200,4,4,1599,3752,,CONDO,FOR_SALE,Campion & Company Fine Homes Real Estate,0,3/13/2022 7:34
71558231,"15 River St APT 706, Boston, MA 02108",River St APT 706,Boston,MA,42.35652,-71.06995,02108,679000,684500,1,1,1308,519,519,CONDO,FOR_SALE,"Red Brick Real Estate, LLC",0,3/13/2022 7:34
2066772151,"301 Border St #503, Boston, MA 02128",Border St #503,Boston,MA,42.37792,-71.039764,02128,745000,,2,2,710,1049,,CONDO,FOR_SALE,"Charlesgate Realty Group, llc",0,3/13/2022 7:34
2068493667,"301 Border St #605, Boston, MA 02128",Border St #605,Boston,MA,,,02128,865000,865000,2,2,862,1003,,CONDO,FOR_SALE,"Charlesgate Realty Group, llc",0,3/13/2022 7:34
2066784782,"130-132 Arlington St #1, Boston, MA 02116",132 Arlington St #1,Boston,MA,42.34905,-71.0695,02116,2499000,,3,3,1393,1793,,CONDO,FOR_SALE,Coldwell Banker Realty - Back Bay,0,3/13/2022 7:34
2066789602,"45 Two #A, Boston, MA 02127",Two #A,Boston,MA,,,02127,1395000,,2,2,887,1572,,CONDO,FOR_SALE,"Marsh Properties, Inc.",0,3/13/2022 7:34
2087953701,"121 Portland St UNIT 209, Boston, MA 02114",Portland St UNIT 209,Boston,MA,42.36362,-71.06054,02114,959999,960000,1,2,909,1055,,CONDO,FOR_SALE,PSR Real Estate,0,3/13/2022 7:34
67709799,"505 Tremont St UNIT 904, Boston, MA 02116",Tremont St UNIT 904,Boston,MA,42.34504,-71.0703,02116,4950000,4835400,3,3,2192,2258,,CONDO,FOR_SALE,,0,3/13/2022 7:34
2076438176,"45 Lewis St UNIT 406, Boston, MA 02128",Lewis St UNIT 406,Boston,MA,42.367096,-71.04149,02128,865000,865000,1,1,1147,754,10018.8,CONDO,FOR_SALE,Compass,0,3/13/2022 7:34
67709708,"1 Charles St #808, Boston, MA 02114",Charles St #808,Boston,MA,42.35642,-71.069435,02114,659000,645100,0,1,1091,604,607,CONDO,FOR_SALE,Keller Williams Realty Boston-Metro | Back Bay,0,3/13/2022 7:34
59181141,"38 Charter St APT 9, Boston, MA 02113",Charter St APT 9,Boston,MA,42.366783,-71.05415,02113,579000,587400,3,2,824,702,10018.8,CONDO,FOR_SALE,Anzalone Realty,0,3/13/2022 7:34
2066816229,"190 Paris St APT 3, Boston, MA 02128",Paris St APT 3,Boston,MA,42.37443,-71.03549,02128,425000,,3,1,615,691,3484.8,CONDO,FOR_SALE,Vylla Home,0,3/13/2022 7:34
2072868347,"58 Prince St, Boston, MA 02113",Prince St,Boston,MA,42.36482,-71.05509,02113,3600000,,11,8,771,4665,1500,MULTI_FAMILY,FOR_SALE,"Core Property Group, LLC",0,3/13/2022 7:34
295325223,"136-140R Shawmut Ave #3D, Boston, MA 02118",140R Shawmut Ave #3D,Boston,MA,42.345886,-71.06585,02118,1899000,1879600,2,2,1099,1727,,CONDO,FOR_SALE,,0,3/13/2022 7:34
59165035,"2 Clarendon St APT 408, Boston, MA 02116",Clarendon St APT 408,Boston,MA,42.344135,-71.07235,02116,905000,905000,2,1,1096,825,,CONDO,FOR_SALE,Coldwell Banker Realty - South End,0,3/13/2022 7:34
2068795711,"101 Condor St PENTHOUSE 6, Boston, MA 02128",Condor St PENTHOUSE 6,Boston,MA,,,02128,659000,660100,2,2,709,929,,CONDO,FOR_SALE,Compass,0,3/13/2022 7:34
2066821314,"584-586 E Broadway, Boston, MA 02127",586 E Broadway,Boston,MA,42.33572,-71.04079,02127,2000000,,2,4,600,3332,22.96,MULTI_FAMILY,FOR_SALE,JR Associates,0,3/13/2022 7:34
2066821617,"142 Chestnut St #8/9, Boston, MA 02108",Chestnut St #8/9,Boston,MA,42.35627,-71.07259,02108,3590000,,2,3,1728,2077,,CONDO,FOR_SALE,,0,3/13/2022 7:34
318225572,"10 Farnsworth St #3A, Boston, MA 02210",Farnsworth St #3A,Boston,MA,42.350937,-71.049034,02210,3295000,3293900,2,3,1559,2113,,CONDO,FOR_SALE,Compass,0,3/13/2022 7:34
295325449,"290 North St #2, Boston, MA 02113",North St #2,Boston,MA,42.364037,-71.0521,02113,2260000,2219500,3,3,1024,2206,,CONDO,FOR_SALE,Real Living Barbera Associates | Cambridge,0,3/13/2022 7:34
2066825287,"81 Prince St #A, Boston, MA 02113",Prince St #A,Boston,MA,42.3655,-71.05573,02113,699000,,2,3,485,1440,,CONDO,FOR_SALE,Arborview Realty Inc.,0,3/13/2022 7:34
2081504637,"45 Temple St UNIT 207, Boston, MA 02114",Temple St UNIT 207,Boston,MA,42.360043,-71.06363,02114,1450000,1423300,1,2,1193,1215,,CONDO,FOR_SALE,Compass,0,3/13/2022 7:34
2069307613,"99 Sumner St #U-221, Boston, MA 02128",Sumner St #U-221,Boston,MA,,,02128,1249900,1264100,2,2,1018,1227,,CONDO,FOR_SALE,Advisors Living - New Developments,0,3/13/2022 7:34
2066837539,"9R Trenton St, Boston, MA 02128",Trenton St,Boston,MA,42.37765,-71.03868,02128,4900000,,21,12,582,8417,4791.6,MULTI_FAMILY,FOR_SALE,"Elevated Realty, LLC",0,3/13/2022 7:34
247150131,"319 A St UNIT 407, Boston, MA 02210",A St UNIT 407,Boston,MA,42.348804,-71.04943,02210,599000,600100,1,1,1047,572,,CONDO,FOR_SALE,Prevu Real Estate LLC,0,3/13/2022 7:34
2066626900,"65 E India Row PENTHOUSE B, Boston, MA 02110",E India Row PENTHOUSE B,Boston,MA,42.357735,-71.0503,02110,1450000,,2,3,886,1635,1742.4,CONDO,FOR_SALE,Century 21 North East,0,3/13/2022 7:34
333605321,"126 Princeton St UNIT 3, Boston, MA 02128",Princeton St UNIT 3,Boston,MA,42.37808,-71.03511,02128,499000,502800,1,1,744,670,,CONDO,FOR_SALE,RE/MAX Revolution,0,3/13/2022 7:34
246887170,"1 Franklin St #1002, Boston, MA 02110",Franklin St #1002,Boston,MA,42.356316,-71.059555,02110,1075000,1062900,1,1,1416,759,,CONDO,FOR_SALE,Compass,0,3/13/2022 7:34
2066855860,"301 Border St #312, Boston, MA 02128",Border St #312,Boston,MA,42.37792,-71.039764,02128,565000,,1,1,749,754,,CONDO,FOR_SALE,"Charlesgate Realty Group, llc",0,3/13/2022 7:34
239893704,"678 Massachusetts Ave #4, Boston, MA 02118",Massachusetts Ave #4,Boston,MA,42.33573,-71.07563,02118,1475000,,4,3,799,1844,,CONDO,FOR_SALE,Coldwell Banker Realty - Back Bay,0,3/13/2022 7:34
246886552,"1 Franklin St #5302, Boston, MA 02110",Franklin St #5302,Boston,MA,42.356316,-71.059555,02110,7500000,,3,5,2364,3172,,CONDO,FOR_SALE,Broad Street Boutique Realty LLC,0,3/13/2022 7:34
2066867674,"457 W Broadway #406, Boston, MA 02127",W Broadway #406,Boston,MA,42.33576,-71.046394,02127,885000,,2,1,1110,797,,CONDO,FOR_SALE,Coldwell Banker Realty - Back Bay,0,3/13/2022 7:34
2069540431,"89 Prescott St #4, Boston, MA 02128",Prescott St #4,Boston,MA,,,02128,595900,,2,2,523,1139,,CONDO,FOR_SALE,Compass,0,3/13/2022 7:34
59181186,"163-165A Salem St, Boston, MA 02113",165A Salem St,Boston,MA,42.36577,-71.05491,02113,2350000,,8,5,758,3100,995,MULTI_FAMILY,FOR_SALE,Marcus & Millichap Real Estate Investment Services,0,3/13/2022 7:34
333606211,"300 Pier 4 Blvd UNIT 2M, Boston, MA 02210",Pier 4 Blvd UNIT 2M,Boston,MA,42.352592,-71.04215,02210,2950000,2947700,2,2,2343,1259,,CONDO,FOR_SALE,"Luxury Residential Group, LLC",0,3/13/2022 7:34
2069885961,"Lexington Landing - Unit 201 Plan, Lexington Landing","Lexington Landing - Unit 201 Plan, Lexington Landing",Boston,MA,42.377106,-71.03889,02128,599000,599000,2,2,664,901,,CONDO,FOR_SALE,,0,3/13/2022 7:34
318226404,"50 Liberty Dr #3A, Boston, MA 02210",Liberty Dr #3A,Boston,MA,42.35425,-71.04446,02210,5900000,4344500,2,3,2897,2036,,CONDO,FOR_SALE,Compass,0,3/13/2022 7:34
2069307548,"99 Sumner St #U-612, Boston, MA 02128",Sumner St #U-612,Boston,MA,42.36969,-71.042435,02128,1209900,1220700,2,2,1003,1206,,CONDO,FOR_SALE,Advisors Living - New Developments,0,3/13/2022 7:34
113389948,"69 Hancock St, Boston, MA 02114",Hancock St,Boston,MA,42.358868,-71.06459,02114,7599000,7266200,4,6,1310,5799,1814,SINGLE_FAMILY,FOR_SALE,Coldwell Banker Realty - Back Bay,0,3/13/2022 7:34
2103780872,"71 Hancock St, Boston, MA 02114",Hancock St,Boston,MA,42.35874,-71.06454,02114,6495000,6210400,4,5,1091,5948,1801,SINGLE_FAMILY,FOR_SALE,Sprogis & Neale Real Estate,0,3/13/2022 7:34
2067984725,"1400 Columbia Rd #3, Boston, MA 02127",Columbia Rd #3,Boston,MA,42.330616,-71.04386,02127,899000,893300,2,1,870,1033,,CONDO,FOR_SALE,Barrett Sotheby's International Realty,0,3/13/2022 7:34
2068560310,"1400 Columbia Rd #2, Boston, MA 02127",Columbia Rd #2,Boston,MA,42.330616,-71.04386,02127,839000,838600,2,1,932,900,4516,CONDO,FOR_SALE,Barrett Sotheby's International Realty,0,3/13/2022 7:34
61319960,"2 Avery St APT 35E, Boston, MA 02111",Avery St APT 35E,Boston,MA,42.35285,-71.06345,02111,7950000,7506400,3,4,2449,3246,,CONDO,FOR_SALE,Coldwell Banker Realty - Back Bay,0,3/13/2022 7:34
2066981338,"14 W Broadway UNIT 803, Boston, MA 02127",W Broadway UNIT 803,Boston,MA,42.34303,-71.05677,02127,1195000,,2,2,1106,1080,,CONDO,FOR_SALE,Compass,0,3/13/2022 7:34
2073661421,"45 Temple St UNIT 612, Boston, MA 02114",Temple St UNIT 612,Boston,MA,42.35998,-71.063805,02114,6475000,6285700,3,3,2054,3151,,CONDO,FOR_SALE,Compass,0,3/13/2022 7:34
81857272,"80 Broad St UNIT 301, Boston, MA 02110",Broad St UNIT 301,Boston,MA,42.357582,-71.052704,02110,1750000,1695200,3,3,916,1910,1910,CONDO,FOR_SALE,Broad Street Boutique Realty LLC,0,3/13/2022 7:34
2067496218,"99 Sumner St #604, Boston, MA 02128",Sumner St #604,Boston,MA,,,02128,1449900,1420800,2,2,1271,1140,,CONDO,FOR_SALE,Advisors Living - New Developments,0,3/13/2022 7:34
2068538813,"99 Sumner St #U-323, Boston, MA 02128",Sumner St #U-323,Boston,MA,,,02128,555000,554900,1,1,1247,445,,CONDO,FOR_SALE,Advisors Living - New Developments,0,3/13/2022 7:34
2081504638,"45 Temple St #304, Boston, MA 02114",Temple St #304,Boston,MA,,,02114,1950000,1922100,1,2,1642,1187,,CONDO,FOR_SALE,Compass,0,3/13/2022 7:34
2068493666,"301 Border St #207, Boston, MA 02128",Border St #207,Boston,MA,,,02128,924900,924600,3,2,731,1265,,CONDO,FOR_SALE,"Charlesgate Realty Group, llc",0,3/13/2022 7:34
2068493665,"301 Border St #413, Boston, MA 02128",Border St #413,Boston,MA,,,02128,850000,849600,2,2,801,1061,,CONDO,FOR_SALE,"Charlesgate Realty Group, llc",0,3/13/2022 7:34
246887188,"1 Franklin St #3110, Boston, MA 02110",Franklin St #3110,Boston,MA,42.356316,-71.059555,02110,2599000,2547400,2,2,2028,1281,,CONDO,FOR_SALE,Compass,0,3/13/2022 7:34
2073777691,"3 Prince St #1, Boston, MA 02113",Prince St #1,Boston,MA,,,02113,690000,,0,0,805,857,,CONDO,FOR_SALE,Gibson Sotheby's International Realty,0,3/13/2022 7:34
2136877367,"111 Beach St UNIT 2G, Boston, MA 02111",Beach St UNIT 2G,Boston,MA,42.350647,-71.05795,02111,679000,663500,0,1,949,715,,CONDO,FOR_SALE,,0,3/13/2022 7:34
333605427,"498 Sumner St #1, Boston, MA 02128",Sumner St #1,Boston,MA,42.365192,-71.03071,02128,649000,644200,2,2,811,800,,CONDO,FOR_SALE,Berkshire Hathaway HomeServices Town and Country Real Estate,0,3/13/2022 7:34
333606194,"133 Seaport Blvd PENTHOUSE 1C, Boston, MA 02210",Seaport Blvd PENTHOUSE 1C,Boston,MA,42.350487,-71.0436,02210,5152000,5152000,2,3,2352,2190,,CONDO,FOR_SALE,TCC / EchelonSeaport,0,3/13/2022 7:34
2067386496,"144 Charles St #2-36, Boston, MA 02114",Charles St #2-36,Boston,MA,42.35999,-71.071,02114,350000,346600,0,0,350,999,,CONDO,FOR_SALE,Gibson Sotheby's International Realty,0,3/13/2022 7:34
318226737,"110 Broad St #404, Boston, MA 02110",Broad St #404,Boston,MA,42.35744,-71.05213,02110,2750000,2694800,2,3,1434,1917,,CONDO,FOR_SALE,Sagan Harborside Sotheby's International Realty,0,3/13/2022 7:34
246886540,"1 Franklin St UNIT 1408, Boston, MA 02110",Franklin St UNIT 1408,Boston,MA,42.356316,-71.059555,02110,2298000,2245400,2,2,1476,1556,,CONDO,FOR_SALE,Compass,0,3/13/2022 7:34
2079374899,"49 Melcher St UNIT 203, Boston, MA 02210",Melcher St UNIT 203,Boston,MA,42.349384,-71.050385,02210,799000,799000,1,1,1138,702,,CONDO,FOR_SALE,Douglas Elliman Real Estate,0,3/13/2022 7:34
102988140,"400 Stuart St #26A, Boston, MA 02116",Stuart St #26A,Boston,MA,42.3488,-71.07428,02116,6195000,6002700,4,5,2551,2428,2613.6,CONDO,FOR_SALE,Gibson Sotheby's International Realty,0,3/13/2022 7:34
2091050222,"49 Melcher St UNIT 205, Boston, MA 02210",Melcher St UNIT 205,Boston,MA,42.349384,-71.050385,02210,799000,799000,1,1,959,833,,CONDO,FOR_SALE,Douglas Elliman Real Estate,0,3/13/2022 7:34
